Category,SubCategory,keywordContainsIgnoreCase,,,,,,,
Everyday,Groceries,cobs,rabba,UBER EATS,NOFRILLS,IQBAL,LABBAIK,,
Everyday,Restaurants,chaska,drux,PITA LITE,grabb,BAR B Q TONITE,CHALET,KABOB,SKIPTHEDISHES
Everyday,Personal supplies,BEAUTY,,,,,,,
Everyday,Clothes,,,,,,,,
Everyday,Laundry/dry cleaning,COINAMATIC,,,,,,,
Everyday,Personal Care,,,,,,,,
Everyday,Subscriptions,,,,,,,,
Everyday,Other,PREMIUM SWEETS,,,,,,,
Everyday,Entertainment,,,,,,,,
Payment,Payment,PAYMENT,,,,,,,
Income,Salary,GUIDEWIRE,,,,,,,
Income,Other,deposit,e-Transfer From,Interest Paid,,,,,
Income,Savings,Withdrawal to Tangerine Savings,,,,,,,
Home,Rent/mortgage,Cheque Withdrawal ,,,,,,,
Home,taxes,INTUIT,,,,,,,
Home,Furnishings,,,,,,,,
Home,Lawn/garden,,,,,,,,
Home,Supplies,,,,,,,,
Home,Maintenance,,,,,,,,
Home,Improvements,,,,,,,,
Home,Moving,,,,,,,,
Insurance,Car,,,,,,,,
Insurance,Health,,,,,,,,
Insurance,Home,square,,,,,,,
Insurance,Life,,,,,,,,
Technology,Domains & hosting,AWS,,,,,,,
Technology,Online services,,,,,,,,
Technology,Hardware,,,,,,,,
Technology,Software,BITWARDEN,,,,,,,
Health,Doctors/dental/vision,JUNCTIONWEST,,,,,,,
Health,Specialty care,,,,,,,,
Health,Pharmacy,PHARMACY,,,,,,,
Health,Emergency,AMBULANCE,,,,,,,
Children,Other,STAPLES,BLS INTERNA,,,,,,
Children,Activities,,,,,,,,
Children,Allowance,,,,,,,,
Children,Medical,,,,,,,,
Children,Childcare,$37.96 ,,,,,,,
Children,Clothing,OSHKOSH,,,,,,,
Children,School,,,,,,,,
Children,Toys,,chatr,,,,,,
Utilities,Phone,fido,,,,,,,
Utilities,TV, Azaad hus,,,,,,,
Utilities,Internet,fido home,,,,,,,
Utilities,Electricity,,,,,,,,
Utilities,Heat/gas,,,,,,,,
Utilities,Water,,,,,,,,
Utilities,Trash,,,,,,,,
Transportation,Other,AIR CAN,,,,,,,
Transportation,Fuel,,,,,,,,
Transportation,Car payments,,,,,,,,
Transportation,Repairs,,,,,,,,
Transportation,Registration/license,,,,,,,,
Transportation,Supplies,,lyft,presto,VRTUCAR,,,,
Transportation,Public transit,UBER,,,,,,,
